;"Sample";"Material";"Spectrum";"Technique";"Na2O";"MgO";"Al2O3";"SiO2";"P2O5";"K2O";"CaO";"MnO";"FeO";"TiO2";"BaO";"Fe203"
0;"MA-201419";"Iron-SI";"MA-201419-2- 1";"SEM";"0.32";"2.37";"10.66";"67.12";"0.01";"2.89";"10.33";"2.93";"2.85";"0.54";"0.01";
1;"MA-201419";"Iron-SI";"MA-201419-2- 2";"SEM";"0.26";"2.18";"9.35";"56.48";"0.05";"2.03";"8.2";"1.9";"18.97";"0.4";"0.18";
2;"MA-201419";"Iron-SI";"MA-201419-2- 3";"SEM";"0.17";"2.32";"10.7";"63.1";"0.01";"3.8";"9.03";"3.71";"6.05";"0.43";"0.7";
3;"MA-201419";"Iron-SI";"MA-201419-2- 4";"SEM";"0.36";"2.6";"12.17";"67.52";"0.01";"3.81";"9.15";"1.89";"1.85";"0.58";"0.07";
4;"MA-201419";"Iron-SI";"MA-201419-2- 5";"SEM";"0.08";"2.23";"11.22";"64.26";"0.01";"3.26";"8.0";"1.13";"9.14";"0.68";"0.01";
5;"MA-201419";"Iron-SI";"MA-201419-2- 6";"SEM";"0.19";"1.18";"5.79";"30.57";"0.01";"1.61";"3.74";"0.91";"55.84";"0.08";"0.1";
6;"MA-201419";"Iron-SI";"MA-201419-2- 7";"SEM";"0.01";"1.64";"10.22";"56.82";"0.01";"3.18";"7.25";"2.45";"17.89";"0.54";"0.01";
7;"MA-201419";"Iron-SI";"MA-201419-2- 8";"SEM";"0.02";"1.09";"6.09";"32.8";"0.09";"1.77";"3.72";"1.26";"52.84";"0.28";"0.04";
8;"MA-201419";"Iron-SI";"MA-201419-2- 11";"SEM";"0.11";"1.35";"6.52";"37.58";"0.01";"2.03";"4.64";"1.44";"45.96";"0.32";"0.06";
9;"MA-201419";"Iron-SI";"MA-201419-2- 12";"SEM";"0.15";"2.04";"11.73";"66.64";"0.05";"3.85";"8.65";"2.71";"3.69";"0.49";"0.01";
10;"MA-201419";"Iron-SI";"MA-201419-2- 13";"SEM";"0.12";"1.93";"7.82";"49.57";"0.04";"2.48";"8.41";"3.56";"25.54";"0.38";"0.15";
11;"MA-201419";"Iron-SI";"MA-201419-2- 14";"SEM";"0.03";"2.11";"9.79";"64.6";"0.05";"3.03";"10.17";"5.06";"4.5";"0.47";"0.19";
12;"MA-201419";"Iron-SI";"MA-201419-2- 15";"SEM";"0.06";"1.58";"7.55";"49.99";"0.15";"2.24";"6.62";"3.33";"28.3";"0.1";"0.08";
13;"MA-201421";"Iron-SI-P";"MA-201421_ 1";"SEM";"0.81";"1.35";"4.62";"43.45";"0.73";"1.5";"3.48";"0.18";"43.61";"0.19";"0.08";
14;"MA-201421";"Iron-SI-P";"MA-201421_ 2";"SEM";"0.72";"1.0";"3.12";"29.75";"0.54";"1.08";"2.73";"0.12";"60.79";"0.13";"0.03";
15;"MA-201421";"Iron-SI-P";"MA-201421_ 3";"SEM";"0.12";"0.75";"3.66";"38.09";"0.78";"1.56";"4.03";"0.2";"50.5";"0.25";"0.01";
16;"MA-201421";"Iron-SI-P";"MA-201421_ 4";"SEM";"0.68";"1.36";"6.52";"59.8";"0.15";"3.47";"5.55";"0.17";"21.98";"0.32";"0.01";
17;"MA-201421";"Iron-SI-P";"MA-201421_ 5";"SEM";"0.61";"0.95";"3.18";"24.76";"0.16";"0.98";"1.6";"0.01";"67.72";"0.04";"0.01";
18;"MA-201421";"Iron-SI-P";"MA-201421_ 6";"SEM";"1.54";"1.85";"6.32";"54.79";"0.09";"2.8";"4.48";"0.21";"27.72";"0.2";"0.01";
19;"MA-201421";"Iron-SI-P";"MA-201421_ 7";"SEM";"1.0";"1.33";"3.91";"28.25";"0.29";"1.1";"2.62";"0.22";"61.2";"0.1";"0.01";
20;"MA-201421";"Iron-SI-P";"MA-201421_ 8";"SEM";"0.84";"1.11";"4.63";"44.68";"0.02";"2.58";"3.99";"0.22";"41.8";"0.14";"0.01";
21;"MA-201421";"Iron-SI-P";"MA-201421_ 9";"SEM";"1.39";"1.62";"5.73";"43.78";"0.18";"1.67";"2.95";"0.09";"42.39";"0.06";"0.14";
22;"MA-201421";"Iron-SI-P";"MA-201421_ 10";"SEM";"0.02";"0.63";"2.57";"25.86";"0.14";"1.15";"3.1";"0.4";"66.04";"0.06";"0.03";
23;"MA-201421";"Iron-SI-P";"MA-201421_ 13";"SEM";"1.3";"1.83";"7.25";"66.24";"0.15";"2.79";"5.27";"0.19";"14.84";"0.15";"0.01";
24;"MA-201421";"Iron-SI-P";"MA-201421_ 14";"SEM";"1.34";"2.21";"6.54";"57.0";"0.03";"2.24";"5.85";"0.26";"24.34";"0.18";"0.01";
25;"MA-201421";"Iron-SI-P";"MA-201421_ 17";"SEM";"1.71";"2.25";"7.24";"59.09";"0.12";"2.82";"5.29";"0.3";"20.96";"0.21";"0.01";
26;"MA-201422";"Iron-SI";"MA-201422_ 1";"SEM";"0.05";"0.58";"3.64";"16.85";"0.28";"0.99";"1.31";"0.63";"75.46";"0.05";"0.16";
27;"MA-201422";"Iron-SI";"MA-201422_ 2";"SEM";"0.07";"0.23";"4.22";"20.68";"0.99";"1.32";"1.96";"0.23";"69.79";"0.44";"0.07";
28;"MA-201422";"Iron-SI";"MA-201422_ 3";"SEM";"0.21";"0.35";"4.38";"20.42";"2.14";"1.27";"1.76";"0.19";"69.02";"0.16";"0.07";
29;"MA-201422";"Iron-SI";"MA-201422_ 5";"SEM";"0.73";"1.03";"7.15";"31.4";"1.57";"1.73";"2.38";"0.21";"53.13";"0.61";"0.05";
30;"MA-201422";"Iron-SI";"MA-201422_ 6";"SEM";"0.32";"0.6";"7.32";"34.27";"2.12";"2.09";"3.07";"0.24";"48.96";"0.59";"0.01";
31;"MA-201422";"Iron-SI";"MA-201422_ 7";"SEM";"0.6";"0.74";"5.5";"23.69";"3.94";"1.41";"1.77";"0.22";"61.76";"0.32";"0.05";
32;"MA-201422";"Iron-SI";"MA-201422_ 11";"SEM";"0.86";"1.67";"4.78";"29.86";"2.21";"1.13";"7.97";"0.07";"51.21";"0.22";"0.01";
33;"MA-201422";"Iron-SI";"MA-201422_ 12";"SEM";"0.07";"0.27";"4.52";"14.04";"2.54";"1.48";"2.36";"0.01";"73.76";"0.22";"0.01";
34;"MA-201422";"Iron-SI";"MA-201422_ 13";"SEM";"0.64";"1.23";"8.29";"28.31";"2.29";"1.72";"4.44";"0.03";"51.72";"0.58";"0.17";
35;"MA-201423";"Iron-SI";"MA-201423_ 1";"SEM";"0.14";"0.01";"3.37";"22.51";"1.31";"0.87";"2.74";"0.21";"68.66";"0.18";"0.01";
36;"MA-201423";"Iron-SI";"MA-201423_ 2";"SEM";"0.06";"0.15";"3.48";"21.24";"1.24";"0.84";"2.65";"0.27";"69.94";"0.14";"0.01";
37;"MA-201423";"Iron-SI";"MA-201423_ 3";"SEM";"0.08";"0.08";"3.81";"21.43";"1.43";"0.99";"2.88";"0.19";"68.89";"0.22";"0.01";
38;"MA-201423";"Iron-SI";"MA-201423_ 4";"SEM";"0.03";"0.24";"3.42";"23.04";"1.58";"0.48";"1.84";"0.23";"68.64";"0.44";"0.07";
39;"MA-201423";"Iron-SI";"MA-201423_ 6";"SEM";"0.09";"0.17";"3.57";"18.72";"2.23";"0.8";"2.47";"0.5";"71.21";"0.04";"0.01";
40;"MA-201423";"Iron-SI";"MA-201423_ 7";"SEM";"0.05";"0.39";"4.86";"23.75";"1.65";"1.02";"3.1";"0.19";"64.76";"0.22";"0.01";
41;"MA-201423";"Iron-SI";"MA-201423_ 8";"SEM";"0.11";"0.15";"3.88";"24.5";"1.79";"0.91";"2.95";"0.42";"65.08";"0.22";"0.01";
42;"MA-201423";"Iron-SI";"MA-201423_ 9";"SEM";"0.05";"0.3";"4.17";"20.94";"2.25";"0.96";"2.77";"0.2";"68.11";"0.23";"0.02";
43;"MA-201423";"Iron-SI";"MA-201423_ 10";"SEM";"0.06";"0.32";"3.62";"21.73";"2.9";"0.92";"3.88";"0.26";"66.08";"0.22";"0.01";
44;"MA-201423";"Iron-SI";"MA-201423_ 11";"SEM";"0.05";"0.14";"2.64";"16.2";"1.92";"0.62";"1.76";"0.12";"76.35";"0.19";"0.01";
45;"MA-201423";"Iron-SI";"MA-201423_ 12";"SEM";"0.07";"0.08";"3.29";"17.97";"2.31";"0.79";"2.55";"0.23";"72.47";"0.2";"0.01";
